"ONGOING LIST OF BUSINESSES SUPPORTING THE FRIDAY, JANUARY 23 GENERAL STRIKE",
268,"Edina Coffee Roasters - Edina, MN"
269,"Eggflip, Minneapolis - Minneapolis, MN"
270,"Eggflip, Rochester - Rochester, MN"
271,"Eggplant Urban Farm Supply - St. Paul, MN"
272,"Electric Fetus - Minneapolis, MN"
273,"Electric Strawberry Piercing - St. Paul, MN"
274,"Element Wood Fire Pizza - Minneapolis, MN"
275,"Elizabeth Barber Shop - St. Paul, MN"
276,"eM Que Viet (open. 50% of all drink sales will be donated to CAPI. Donation drive next Mon-Wed. for CAPI as well) - St. Paul, MN"
277,"Emerald Lounge - St. Paul, MN"
278,"Ena Latin Fusion Cuisine - Minneapolis, MN"
279,"Enchanted Beauty Spa - Mendota Heights, MN"
280,"Enchanted Quill - North Branch, MN"
281,"Equipment - Minneapolis, MN"
282,"Ergo - Minneapolis, MN"
283,"Estelle Restaurant - St. Paul, MN"
284,"Evelyn's Emporium - St. Paul, MN"
285,"Everett and Charlie Gallery - Minneapolis, MN"
286,"Evergreen Collective - St. Paul, MN"
287,"Everyday People - St. Paul, MN"
288,"Excelsior Bay Books - Excelsior, MN"
289,"Experimax - Coon Rapids, MN"
290,"Extended Seasons - Bagley, MN"
291,"Extreme Noise Records - Minneapolis, MN"
292,"Face - Minneapolis, MN"
293,"Fair Play Projects - St. Paul, MN"
294,"Falling Knife Brewing Co. - Minneapolis, MN"
295,"Familia Skate - Minneapolis, MN"
296,"Family Tree Clinic - Minneapolis, MN"
297,"Farina Rossa (Free coffee & meals to those in need 12pm-1:30pm) - Minneapolis, MN"
298,"Farmer's Grandson Eatery, Eagan - Eagan, MN"
299,"Farmer's Grandson Eatery, Lakeville - Lakeville, MN"
300,"Farmers Cellar - Lakeville, MN"
301,"Farmtown Brew Hall - Farmington, MN"
302,"Fawkes Alley Coffee - Minneapolis, MN"
303,"Ferris - Minneapolis, MN"
304,"Ferris Shop - Minneapolis, MN"
305,"FilmNorth - St. Paul, MN"
306,"Find Furnish - Minneapolis, MN"
307,"Finn Sisu - Lauderdale, MN"
308,"Finnish Bistro - St. Paul, MN"
309,"Fired Up Studios - Golden Valley, MN"
310,"Fisherman's Daughter - Grand Marais, MN"
311,Five Watt Coffee E. Hennepin
312,Five Watt Coffee Lyndale Ave
313,Five Watt Coffee Nicollet Ave.
314,"Flameburger - Little Canada, MN"
315,"Flava Cafe - St. Paul, MN"
316,"Flora Room - Minneapolis, MN"
317,"Floreria Yare - Minneapolis, MN"
318,"Fly Vintage and Vinyl - Robbinsdale, MN"
319,"Football Pizza, Eagan - Eagan, MN"
320,"Football Pizza, Eden Prairie - Eden Prairie, MN"
321,"Football Pizza, Minneapolis - Minneapolis, MN"
322,"Forecast Public Art - St. Paul, MN"
323,"Foundary Nation - Minneapolis, MN"
324,"Fox Den Board Game Cafe - Burnsville, MN"
325,"Fox Den Books - River Falls, WI"
326,"Foxy Dogs - Minneapolis, MN"
327,"FrameStyles - Minneapolis, MN"
328,"France 44 Wines & Spirits - Minneapolis, MN"
329,"Francis Burger Joint, East Lake - Minneapolis, MN"
330,"Francis Burger Joint, Northeast - Minneapolis, MN"
331,"Franconia Sculpture Park - Shafer, MN"
332,"Freewheel Bike, Bloomington - Bloomington, MN"
333,"Freewheel Bike, Eagan - Eagan, MN"
